codigo_ibge,nome,latitude,longitude,UF,Munic,NMunic,Populacao
3543204,Ribeirão do Sul,23.0,50.0,35.0,43204.0,RIBEIRÃO DO SUL,4497.0
3543238,Ribeirão dos Índios,22.0,52.0,35.0,43238.0,RIBEIRÃO DOS ÍNDIOS,2231.0
5107198,Ribeirãozinho,16.0,53.0,51.0,7198.0,RIBEIRÃOZINHO,2107.0
2806008,Ribeirópolis,11.0,37.0,28.0,6008.0,RIBEIRÓPOLIS,15676.0
3543600,Rifaina,20.0,47.0,35.0,43600.0,RIFAINA,3587.0
3543709,Rincão,22.0,48.0,35.0,43709.0,RINCÃO,10425.0
3543808,Rinópolis,22.0,51.0,35.0,43808.0,RINÓPOLIS,9393.0
3154804,Rio Acima,20.0,44.0,31.0,54804.0,RIO ACIMA,8257.0
4122008,Rio Azul,26.0,51.0,41.0,22008.0,RIO AZUL,13248.0
3204351,Rio Bananal,19.0,40.0,32.0,4351.0,RIO BANANAL,16587.0
4122107,Rio Bom,24.0,51.0,41.0,22107.0,RIO BOM,3260.0
3304300,Rio Bonito,23.0,43.0,33.0,4300.0,RIO BONITO,51942.0
4122156,Rio Bonito do Iguaçu,25.0,53.0,41.0,22156.0,RIO BONITO DO IGUAÇU,14450.0
5107206,Rio Branco,15.0,58.0,51.0,7206.0,RIO BRANCO,295692.0
4122172,Rio Branco do Ivaí,24.0,51.0,41.0,22172.0,RIO BRANCO DO IVAÍ,3850.0
4122206,Rio Branco do Sul,25.0,49.0,41.0,22206.0,RIO BRANCO DO SUL,31486.0
5007208,Rio Brilhante,22.0,55.0,50.0,7208.0,RIO BRILHANTE,26560.0
3154903,Rio Casca,20.0,43.0,31.0,54903.0,RIO CASCA,14496.0
3304409,Rio Claro,23.0,44.0,33.0,4409.0,RIO CLARO,17216.0
1100262,Rio Crespo,10.0,63.0,11.0,262.0,RIO CRESPO,3174.0
3155009,Rio Doce,20.0,43.0,31.0,55009.0,RIO DOCE,2520.0
3155207,Rio Espera,21.0,43.0,31.0,55207.0,RIO ESPERA,6594.0
2611903,Rio Formoso,9.0,35.0,26.0,11903.0,RIO FORMOSO,21024.0
4214904,Rio Fortuna,28.0,49.0,42.0,14904.0,RIO FORTUNA,4468.0
4315602,Rio Grande,32.0,52.0,43.0,15602.0,RIO GRANDE,
3544103,Rio Grande da Serra,24.0,46.0,35.0,44103.0,RIO GRANDE DA SERRA,39270.0
2209005,Rio Grande do Piauí,8.0,43.0,22.0,9005.0,RIO GRANDE DO PIAUÍ,6430.0
2707701,Rio Largo,9.0,36.0,27.0,7701.0,RIO LARGO,65432.0
3155306,Rio Manso,20.0,44.0,31.0,55306.0,RIO MANSO,5007.0
1506161,Rio Maria,7.0,50.0,15.0,6161.0,RIO MARIA,16993.0
4215000,Rio Negrinho,26.0,50.0,42.0,15000.0,RIO NEGRINHO,42237.0
5007307,Rio Negro,19.0,55.0,50.0,7307.0,RIO NEGRO,34823.0
3155405,Rio Novo,21.0,43.0,31.0,55405.0,RIO NOVO,8910.0
3204401,Rio Novo do Sul,21.0,41.0,32.0,4401.0,RIO NOVO DO SUL,11111.0
3155504,Rio Paranaíba,19.0,46.0,31.0,55504.0,RIO PARANAÍBA,10809.0
4315701,Rio Pardo,30.0,52.0,43.0,15701.0,RIO PARDO,37704.0
3155603,Rio Pardo de Minas,16.0,43.0,31.0,55603.0,RIO PARDO DE MINAS,28633.0
3155702,Rio Piracicaba,20.0,43.0,31.0,55702.0,RIO PIRACICABA,14319.0
3155801,Rio Pomba,21.0,43.0,31.0,55801.0,RIO POMBA,16709.0
3155900,Rio Preto,22.0,44.0,31.0,55900.0,RIO PRETO,5388.0
1303569,Rio Preto da Eva,3.0,60.0,13.0,3569.0,RIO PRETO DA EVA,24858.0
5218789,Rio Quente,18.0,49.0,52.0,18789.0,RIO QUENTE,2959.0
2927002,Rio Real,11.0,38.0,29.0,27002.0,RIO REAL,36169.0
4215059,Rio Rufino,28.0,50.0,42.0,15059.0,RIO RUFINO,2433.0
1718758,Rio Sono,9.0,48.0,17.0,18758.0,RIO SONO,6167.0
2512903,Rio Tinto,7.0,35.0,25.0,12903.0,RIO TINTO,23023.0
5218805,Rio Verde,18.0,51.0,52.0,18805.0,RIO VERDE,149382.0
5007406,Rio Verde de Mato Grosso,19.0,55.0,50.0,7406.0,RIO VERDE DE MATO GROSSO,18579.0
3156007,Rio Vermelho,18.0,43.0,31.0,56007.0,RIO VERMELHO,14856.0
1718659,Rio da Conceição,11.0,47.0,17.0,18659.0,RIO DA CONCEIÇÃO,1454.0
4214409,Rio das Antas,27.0,51.0,42.0,14409.0,RIO DAS ANTAS,6054.0
3304508,Rio das Flores,22.0,44.0,33.0,4508.0,RIO DAS FLORES,8192.0
3304524,Rio das Ostras,23.0,42.0,33.0,4524.0,RIO DAS OSTRAS,74750.0
3544004,Rio das Pedras,23.0,48.0,35.0,44004.0,RIO DAS PEDRAS,26344.0
2926707,Rio de Contas,14.0,42.0,29.0,26707.0,RIO DE CONTAS,13447.0
3304557,Rio de Janeiro,23.0,43.0,33.0,4557.0,RIO DE JANEIRO,
2926806,Rio do Antônio,14.0,42.0,29.0,26806.0,RIO DO ANTÔNIO,15096.0
4214508,Rio do Campo,27.0,50.0,42.0,14508.0,RIO DO CAMPO,6042.0
2408953,Rio do Fogo,5.0,35.0,24.0,8953.0,RIO DO FOGO,9753.0
4214607,Rio do Oeste,27.0,50.0,42.0,14607.0,RIO DO OESTE,6795.0
2926905,Rio do Pires,13.0,42.0,29.0,26905.0,RIO DO PIRES,11385.0
3155108,Rio do Prado,17.0,41.0,31.0,55108.0,RIO DO PRADO,4489.0
4214805,Rio do Sul,27.0,50.0,42.0,14805.0,RIO DO SUL,56919.0
1718709,Rio dos Bois,9.0,49.0,17.0,18709.0,RIO DOS BOIS,2092.0
4214706,Rio dos Cedros,27.0,49.0,42.0,14706.0,RIO DOS CEDROS,9685.0
4315552,Rio dos Índios,27.0,53.0,43.0,15552.0,RIO DOS ÍNDIOS,4202.0
3544202,Riolândia,20.0,50.0,35.0,44202.0,RIOLÂNDIA,9713.0
4315750,Riozinho,30.0,50.0,43.0,15750.0,RIOZINHO,4406.0
4215075,Riqueza,27.0,53.0,42.0,15075.0,RIQUEZA,4998.0
3156106,Ritápolis,21.0,44.0,31.0,56106.0,RITÁPOLIS,5068.0
3543501,Riversul,24.0,49.0,35.0,43501.0,RIVERSUL,6545.0
4315800,Roca Sales,29.0,52.0,43.0,15800.0,ROCA SALES,9922.0
5007505,Rochedo,20.0,55.0,50.0,7505.0,ROCHEDO,4346.0
3156205,Rochedo de Minas,22.0,43.0,31.0,56205.0,ROCHEDO DE MINAS,2036.0
4215109,Rodeio,27.0,49.0,42.0,15109.0,RODEIO,10773.0
4315909,Rodeio Bonito,27.0,53.0,43.0,15909.0,RODEIO BONITO,5698.0
3156304,Rodeiro,21.0,43.0,31.0,56304.0,RODEIRO,6178.0
2927101,Rodelas,9.0,39.0,29.0,27101.0,RODELAS,7023.0
2411007,Rodolfo Fernandes,6.0,38.0,24.0,11007.0,RODOLFO FERNANDES,4569.0
1200427,Rodrigues Alves,8.0,73.0,12.0,427.0,RODRIGUES ALVES,12428.0
4315958,Rolador,28.0,55.0,43.0,15958.0,ROLADOR,2795.0
4316006,Rolante,30.0,51.0,43.0,16006.0,ROLANTE,19213.0
1100288,Rolim de Moura,12.0,62.0,11.0,288.0,ROLIM DE MOURA,48894.0
4122404,Rolândia,23.0,51.0,41.0,22404.0,ROLÂNDIA,53437.0
3156403,Romaria,19.0,48.0,31.0,56403.0,ROMARIA,3561.0
4215208,Romelândia,27.0,53.0,42.0,15208.0,ROMELÂNDIA,5738.0
4122503,Roncador,25.0,52.0,41.0,22503.0,RONCADOR,12265.0
4316105,Ronda Alta,28.0,53.0,43.0,16105.0,RONDA ALTA,9654.0
4316204,Rondinha,28.0,53.0,43.0,16204.0,RONDINHA,5674.0
5107578,Rondolândia,11.0,61.0,51.0,7578.0,RONDOLÂNDIA,3348.0
4122602,Rondon,23.0,53.0,41.0,22602.0,RONDON,9023.0
1506187,Rondon do Pará,5.0,48.0,15.0,6187.0,RONDON DO PARÁ,45016.0
5107602,Rondonópolis,16.0,55.0,51.0,7602.0,RONDONÓPOLIS,172783.0
4316303,Roque Gonzales,28.0,55.0,43.0,16303.0,ROQUE GONZALES,7297.0
1400472,Rorainópolis,1.0,60.0,14.0,472.0,RORAINÓPOLIS,24466.0
3544251,Rosana,23.0,53.0,35.0,44251.0,ROSANA,19943.0
3544301,Roseira,23.0,45.0,35.0,44301.0,ROSEIRA,9016.0
2109601,Rosário,3.0,44.0,21.0,9601.0,ROSÁRIO,37920.0
5107701,Rosário Oeste,15.0,56.0,51.0,7701.0,ROSÁRIO OESTE,18031.0
3156452,Rosário da Limeira,21.0,43.0,31.0,56452.0,ROSÁRIO DA LIMEIRA,4151.0
2806107,Rosário do Catete,11.0,37.0,28.0,6107.0,ROSÁRIO DO CATETE,8518.0
4122651,Rosário do Ivaí,24.0,51.0,41.0,22651.0,ROSÁRIO DO IVAÍ,5823.0
4316402,Rosário do Sul,30.0,55.0,43.0,16402.0,ROSÁRIO DO SUL,40509.0
2707800,Roteiro,10.0,36.0,27.0,7800.0,ROTEIRO,6692.0
3156502,Rubelita,16.0,42.0,31.0,56502.0,RUBELITA,8299.0
5218904,Rubiataba,15.0,50.0,52.0,18904.0,RUBIATABA,18025.0
3156601,Rubim,16.0,41.0,31.0,56601.0,RUBIM,9561.0
3544509,Rubinéia,20.0,51.0,35.0,44509.0,RUBINÉIA,2546.0
3544400,Rubiácea,21.0,51.0,35.0,44400.0,RUBIÁCEA,2501.0
